"댓글리뷰","고객평점"
"자주 왔다갔다해서 헷갈린다, 산만하다는 얘기도 많은데 과거는 따스한 색감으로 연출하고 현재는 차가운 색감으로 연출해서 보는데 헷갈리지는 않았어요! 올해 본 영화중에 가장 여운이 길게 남을 영화같네요.","10"
"배급사가ㅈ소니인지 모르고봄,ㅎ,90년대 작은 아씨들에 비하면 주인공들 별로,재미도 별로,과거,현재 왔다갔다 거려서 더 정신없었음","5"
"","10"
"잔잔하고 보고나와서 잘봤다 싶은 영화.자매끼리 싸우기에는 인생이 너무 짧다ㅠ는 대사가 준 여운까지 좋았어요","9"
"소소하게 쌓이는 벅찬 감동 ㅠ","8"
"4대3비율에 담아낸 아름다운 화면, 이에 잘 어우러진 배경음악등은 칭찬받아마땅. 근데 좀 적당히 왔다갔다해야지. 새로운 형태의 겉멋인가?","5"
"길어서 지루함","7"
"","9"
"저의 어린 시절의 생각과 행동은 조와 비슷했습니다. 작은 아씨들 책은 읽어 본적 없는데 꼭 읽어보려고 합니다. 가족애가 잘 느껴져서. 실제 가족의 모습을 많이 볼 수 있어서 좋았습니다. 스킨쉽과 포옹이 정말 따스해보였습니다. 어린시절의 기억을 공유할 수 있는 자매와 소꿉친구들이 있어서 부럽습니다.시얼샤 로넌, 엠마 왓슨, 메릴 스트립 출연해서 보러 가야지한 영화고, 아카데미 시상식 각 분야에 후보로 많이 올린 영화입니다. 해서 보러 갔는데 감독이 그레타 거윅.. 배우와 각본가로만 알고 있었는데, 너무 멋있습니다.","8"
"고전소설 한편을. 읽은 느낌이랄 까","8"
"시시함. 실망했음","8"
"별루...","6"
"일본 자본 소니 영화는 극장서 안볼겁니다.","0"
"","5"
"재미있게 봤습니다.","10"
".","10"
"이 영화가 왜 아카데미상에 노미네이트 되었을까?로컬 영화라서!!!지루한 전개에 졸뻔했다.","4"
"","10"
"원작보다 더 감명 깊어서 보는 내내 울었다","10"
"한편의 아름다운 동화","8"
"","8"
"","9"
"쏘쏘","5"
